frequency_mhz,qualification,mapping,refill_grant_words,duration_us,deadline_misses,incomplete_frames,minimum_read_deadline_slack_us,dq_util_pct,effective_mb_s,writer_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,unserved_words,dq_turnarounds,activates,command_util_pct
143,exploratory-overclock,row-chip-bank-column,16,1000.0,0,0,28.62937062937063,77.46013986013986,221.536,25.454545454545453,25.454545454545453,0.7832167832167832,16,6472,375,10.385314685314686
143,exploratory-overclock,row-chip-bank-column,32,1000.0,0,0,28.62937062937063,77.44895104895105,221.504,25.174825174825173,25.174825174825173,0.7832167832167832,32,3270,375,10.383916083916084
143,exploratory-overclock,row-chip-bank-column,64,1000.0,0,0,28.62937062937063,77.42657342657343,221.44,24.804195804195803,24.804195804195803,0.7832167832167832,64,1640,367,10.36993006993007
143,exploratory-overclock,row-chip-bank-column,128,1000.0,0,0,28.62937062937063,77.38181818181818,221.312,24.32867132867133,24.32867132867133,0.7832167832167832,128,826,360,10.354545454545455
143,exploratory-overclock,row-chip-bank-column,256,1000.0,0,0,28.62937062937063,77.29230769230769,221.056,23.426573426573427,23.426573426573427,0.7832167832167832,256,418,352,10.332867132867133
143,exploratory-overclock,row-chip-bank-column,512,1000.0,0,0,27.517482517482517,77.11328671328671,220.544,22.53146853146853,22.53146853146853,0.7832167832167832,512,212,333,10.283916083916084
143,exploratory-overclock,row-chip-bank-column,1024,1000.0,0,0,18.27972027972028,76.75524475524476,219.52,17.503496503496503,17.503496503496503,0.7832167832167832,1024,118,288,10.176223776223777
143,exploratory-overclock,stripe-1k-bank-chip,8,1000.0,0,0,32.32867132867133,77.46573426573427,221.552,27.3006993006993,27.3006993006993,0.7832167832167832,8,12636,500,10.56083916083916
143,exploratory-overclock,stripe-1k-bank-chip,16,1000.0,0,0,32.32867132867133,77.46013986013986,221.536,26.174825174825173,26.174825174825173,0.7832167832167832,16,6504,493,10.55034965034965
143,exploratory-overclock,stripe-1k-bank-chip,32,1000.0,0,0,32.32867132867133,77.44895104895105,221.504,25.713286713286713,25.713286713286713,0.7832167832167832,32,3300,485,10.537762237762237
143,exploratory-overclock,stripe-1k-bank-chip,64,1000.0,0,0,32.32867132867133,77.42657342657343,221.44,25.076923076923077,25.076923076923077,0.7832167832167832,64,1656,476,10.522377622377622
143,exploratory-overclock,stripe-1k-bank-chip,128,1000.0,0,0,32.32867132867133,77.38181818181818,221.312,24.475524475524477,24.475524475524477,0.7832167832167832,128,834,469,10.506993006993007
143,exploratory-overclock,stripe-1k-bank-chip,256,1000.0,0,0,32.16783216783217,77.29230769230769,221.056,23.3006993006993,23.3006993006993,0.7832167832167832,256,420,448,10.467132867132866
143,exploratory-overclock,stripe-1k-bank-chip,512,1000.0,0,0,27.53846153846154,77.11328671328671,220.544,22.496503496503497,22.496503496503497,0.7832167832167832,512,212,403,10.381818181818181
143,exploratory-overclock,stripe-1k-bank-chip,1024,1000.0,0,0,18.244755244755243,76.75524475524476,219.52,17.48951048951049,17.48951048951049,0.7832167832167832,1024,116,431,10.376223776223776
143,exploratory-overclock,stripe-1k-chip-bank,8,1000.0,0,0,32.32867132867133,77.46573426573427,221.552,27.3006993006993,27.3006993006993,0.7832167832167832,8,12614,500,10.56083916083916
143,exploratory-overclock,stripe-1k-chip-bank,16,1000.0,0,0,32.32867132867133,77.46013986013986,221.536,26.251748251748253,26.251748251748253,0.7832167832167832,16,6526,495,10.553146853146853
143,exploratory-overclock,stripe-1k-chip-bank,32,1000.0,0,0,32.32867132867133,77.44895104895105,221.504,25.713286713286713,25.713286713286713,0.7832167832167832,32,3300,485,10.537762237762237
143,exploratory-overclock,stripe-1k-chip-bank,64,1000.0,0,0,32.32867132867133,77.42657342657343,221.44,25.09090909090909,25.09090909090909,0.7832167832167832,64,1658,476,10.522377622377622
143,exploratory-overclock,stripe-1k-chip-bank,128,1000.0,0,0,32.32867132867133,77.38181818181818,221.312,24.53146853146853,24.53146853146853,0.7832167832167832,128,834,469,10.506993006993007
143,exploratory-overclock,stripe-1k-chip-bank,256,1000.0,0,0,32.16083916083916,77.29230769230769,221.056,23.307692307692307,23.307692307692307,0.7832167832167832,256,420,448,10.467132867132866
143,exploratory-overclock,stripe-1k-chip-bank,512,1000.0,0,0,27.53846153846154,77.11328671328671,220.544,22.503496503496503,22.503496503496503,0.7832167832167832,512,212,403,10.381818181818181
143,exploratory-overclock,stripe-1k-chip-bank,1024,1000.0,0,0,18.244755244755243,76.75524475524476,219.52,17.482517482517483,17.482517482517483,0.7832167832167832,1024,116,431,10.376223776223776
