frequency_mhz,duration_us,mapping,refill_grant_words,refresh_phase,refresh_stagger_cycles,deadline_misses,scanout_deadline_misses,scanout_max_lateness_us,first_missed_deadline_us,last_missed_deadline_us,frame_write_deadline_misses,incomplete_frames,scanout_min_slack_us,scanout_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,effective_mb_s,dq_util_pct,unserved_words,dq_turnarounds,activates,precharges,refresh_command_cycles
130,16666.666666666668,stripe-1k-bank-chip,128,aligned,0,13,13,4.184615384615385,12951.815384615385,12953.553846153845,0,0,-4.184615384615385,39.99230769230769,40.08461538461538,40.146153846153844,221.55270817006405,85.21258006540926,128,14332,8015,8014,4272
130,16666.666666666668,stripe-1k-bank-chip,128,quarter,253,37,37,4.346153846153846,2868.2,13703.553846153845,0,0,-4.346153846153846,40.03076923076923,40.12307692307692,40.184615384615384,221.55270817006405,85.21258006540926,128,14220,8144,8143,4272
130,16666.666666666668,stripe-1k-bank-chip,128,half,507,13,13,4.184615384615385,12951.815384615385,12953.553846153845,0,0,-4.184615384615385,39.99230769230769,40.08461538461538,40.146153846153844,221.55270817006405,85.21258006540926,128,14320,8022,8021,4272
130,16666.666666666668,stripe-1k-bank-chip,128,three-quarter,760,29,29,4.184615384615385,3535.3,12953.553846153845,0,0,-4.184615384615385,40.03846153846154,40.13076923076923,40.19230769230769,221.55270817006405,85.21258006540926,128,14258,8096,8096,4272
130,16666.666666666668,stripe-1k-bank-chip,256,aligned,0,29,29,6.492307692307692,12949.507692307692,12953.553846153845,0,0,-6.492307692307692,40.97692307692308,41.06923076923077,41.13076923076923,221.5373481653379,85.2066723712838,256,7196,7749,7748,4272
130,16666.666666666668,stripe-1k-bank-chip,256,quarter,253,126,126,6.6692307692307695,2865.8846153846152,13703.553846153845,0,0,-6.6692307692307695,41.02307692307692,41.11538461538461,41.176923076923075,221.5373481653379,85.2066723712838,256,7094,7981,7980,4272
130,16666.666666666668,stripe-1k-bank-chip,256,half,507,29,29,6.492307692307692,12949.507692307692,12953.553846153845,0,0,-6.492307692307692,40.97692307692308,41.06923076923077,41.13076923076923,221.5373481653379,85.2066723712838,256,7184,7771,7771,4272
130,16666.666666666668,stripe-1k-bank-chip,256,three-quarter,760,95,95,6.492307692307692,3532.9846153846156,12953.553846153845,0,0,-6.492307692307692,41.06153846153846,47.26923076923077,43.246153846153845,221.5373481653379,85.2066723712838,256,7116,7947,7947,4272
